Total: 82.19s

         2371373 function calls (2320564 primitive calls) in 85.173 seconds

   Ordered by: cumulative time
   List reduced from 6739 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25952    1.033    0.000    1.033    0.000 {method 'encode' of 'ImagingEncoder' objects}
    44/24    1.000    0.023    0.989    0.041 {split}
     22/7    0.892    0.041    0.123    0.018 C:\Swaroop\editor_1\editor_1\src\color\engine.py:431(_adjust_temperature)
     22/3    0.889    0.040   61.722   20.574 C:\Swaroop\editor_1\editor_1\src\color\engine.py:384(apply_style)
    66/29    0.818    0.012    0.559    0.019 {LUT}
     18/5    0.778    0.043    1.137    0.227 C:\Swaroop\editor_1\editor_1\src\color\engine.py:761(_override_sky)
    26/16    0.728    0.028    0.651    0.041 {method 'encode_to_file' of 'ImagingEncoder' objects}
    61/47    0.728    0.012    1.199    0.026 {method 'copy' of 'ImagingCore' objects}
     22/4    0.688    0.031    0.004    0.001 C:\Swaroop\editor_1\editor_1\src\color\engine.py:625(_apply_vignette)
  286/126    0.677    0.002    0.003    0.000 {method 'acquire' of '_thread.lock' objects}
     22/3    0.623    0.028    3.062    1.021 C:\Swaroop\editor_1\editor_1\src\color\engine.py:507(_apply_per_channel_hsl)
   110/53    0.588    0.005    4.807    0.091 {method 'max' of 'numpy.ndarray' objects}
   132/36    0.586    0.004    3.232    0.090 C:\Swaroop\editor_1\editor_1\venv\Lib\site-packages\numpy\_core\_methods.py:148(_var)
   132/36    0.581    0.004    4.898    0.136 C:\Swaroop\editor_1\editor_1\venv\Lib\site-packages\numpy\_core\_methods.py:217(_std)
     22/6    0.521    0.024    2.098    0.350 C:\Swaroop\editor_1\editor_1\src\color\engine.py:604(_adjust_vibrance)
    66/51    0.499    0.008    0.705    0.014 {method 'copy' of 'numpy.ndarray' objects}
     22/3    0.494    0.022    0.099    0.033 C:\Swaroop\editor_1\editor_1\src\segmentation\semantic_segmenter.py:61(segment)
     22/3    0.467    0.021   13.807    4.602 C:\Swaroop\editor_1\editor_1\src\color\engine.py:380(apply_transfer)


