Total: 337.85s

         4322951 function calls (4232469 primitive calls) in 341.166 seconds

   Ordered by: cumulative time
   List reduced from 10592 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  729/514    2.479    0.003    4.818    0.009 {method 'reduce' of 'numpy.ufunc' objects}
   132/69    2.397    0.018    2.403    0.035 {GaussianBlur}
  176/113    2.215    0.013    3.167    0.028 {morphologyEx}
    63966    2.053    0.000    2.053    0.000 {method 'encode' of 'ImagingEncoder' objects}
  903/558    1.971    0.002   55.110    0.099 C:\Swaroop\editor_1\editor_1\venv\Lib\site-packages\numpy\_core\fromnumeric.py:48(_wrapfunc)
    22/10    1.942    0.088    8.217    0.822 C:\Swaroop\editor_1\editor_1\src\color\engine.py:604(_adjust_vibrance)
  903/558    1.717    0.002   64.349    0.115 C:\Swaroop\editor_1\editor_1\venv\Lib\site-packages\numpy\_core\fromnumeric.py:2207(clip)
  127/111    1.690    0.013    1.705    0.015 {method 'copy' of 'ImagingCore' objects}
    48/47    1.524    0.032    1.564    0.033 {method 'paste' of 'ImagingCore' objects}
25973/25432    1.445    0.000    2.105    0.000 {method 'read' of '_io.BufferedReader' objects}
   110/73    1.426    0.013    5.266    0.072 {method 'max' of 'numpy.ndarray' objects}
    22/10    1.285    0.058    0.462    0.046 C:\Swaroop\editor_1\editor_1\src\color\engine.py:625(_apply_vignette)
     22/5    1.275    0.058    3.467    0.693 C:\Swaroop\editor_1\editor_1\src\color\engine.py:384(apply_style)
    60/11    1.266    0.021  547.964   49.815 C:\Users\Joylon\AppData\Local\Programs\Python\Python312\Lib\threading.py:637(wait)
    22/10    1.207    0.055    0.744    0.074 C:\Swaroop\editor_1\editor_1\src\color\engine.py:431(_adjust_temperature)
     22/7    1.146    0.052    0.922    0.132 C:\Swaroop\editor_1\editor_1\src\color\engine.py:507(_apply_per_channel_hsl)
    26/18    1.139    0.044    1.058    0.059 {method 'encode_to_file' of 'ImagingEncoder' objects}
     22/8    1.039    0.047    7.681    0.960 C:\Swaroop\editor_1\editor_1\src\color\engine.py:380(apply_transfer)
    22/10    1.034    0.047    4.755    0.475 C:\Swaroop\editor_1\editor_1\src\color\engine.py:722(_override_skin)


